0,1,2,3,4,5,6,7,8,9,10,11
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",,2019-01-01,TV-PG,90 min,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
70304990,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",,2014-01-01,R,90 min,"Action & Adventure, Thrillers",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
80057700,Movie,The Runner,Austin Stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,,2015-01-01,R,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
81053892,Movie,TUNA GIRL,Mana Yasuda,"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu",,,2019-01-01,TV-PG,90 min,"Dramas, International Movies",A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
80033772,Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",Kip Andersen,United States,,2014-01-01,NR,90 min,Documentaries,Learn how factory farming is decimating the planet's natural resources – and why this crisis has been largely ignored by major environmental groups.
81037283,Movie,Head Count,Elle Callahan,"Isaac Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe",United States,,2018-01-01,TV-MA,90 min,"Horror Movies, Independent Movies",A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.
70068739,Movie,Brother's Shadow,Todd S. Yellin,"Scott Cohen, Judd Hirsch, Susan Floyd, Elliot Korte, Ruben Santiago-Hudson, James Murtaugh, Ato Essandoh, Toby Poser, Diane Kagan, John Di Benedetto, Jerry Matz, Lisa Emery",United States,,2006-01-01,TV-14,90 min,"Dramas, Independent Movies","After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother."
80061314,Movie,Incorruptible,Elizabeth Chai Vasarhelyi,,"United States, Senegal",,2015-01-01,TV-MA,90 min,Documentaries,"In the streets of Senegal, a youth movement rises up against a regime bent on retaining power in this chronicle of the nation's stormy 2012 elections."
81016324,Movie,The Jungle School,Riri Riza,"Prisia Nasution, Nyungsang Bungo, Rukman Rosadi, Nadhira Suryadi, Ines Somellera",Indonesia,,2013-01-01,TV-PG,90 min,"Dramas, International Movies",An idealistic young woman travels to the jungles of Indonesia to teach literacy – and much more – to local children.
80199767,Movie,Cult of Chucky,Don Mancini,"Fiona Dourif, Michael Therriault, Adam Hurtig, Alex Vincent, Jennifer Tilly, Brad Dourif, Summer H. Howell, Grace Lynn Kung, Elisabeth Rosen, Zak Santiago, Ali Tataryn",United States,,2017-01-01,R,90 min,Horror Movies,"Following a string of murders in the asylum where she's confined, Nica Pierce begins to wonder whether Chucky is real after all."
